PrimaryNetworkName,SeriesID,SeriesName,SeriesDescription,ProductionCompany,PieceLength,Genres,ReleaseDate,ProgramTypeSS,BannerURL,IsFeatured,SeasonCount,EpisodeCount,PromoVideoURL,PromoImageURL,TrailerVideoURL,TrailerImageURL,SpanishVideoURL,SpanishImageURL
The History Channel,82,Dead Reckoning,"Charles Falco is one of only three men ever to infiltrate three different outlaw biker gangs. With his savvy and expertise, not to mention his immense courage, Falco has helped law enforcement bring some of America's most dangerous and feared gangs to justice. This first season of The Infiltrator takes us deep inside the notorious Vagos. Falco details this operation in the optioned book Vagos, Mongols, and Outlaws: My Infiltration of America's Deadliest Biker Gangs. The real-life Donnie Brasco will meet Sons of Anarchy in a way that can be Gangland 2.0 for History. With a combination of interviews and high-end recreations, each episode unfolds a different step in Falco's covert investigation into their illegal activities. Working in conjunction with law enforcement and drawing on the wealth of material from Falco's book, along with broader documented historical research of inter-gang rivalry, this series captures the reality of outlaw biker counter-culture: a world where freedom is equated with the right to carry guns and trade drugs with impunity, and respect can be earned through fear. With Falco's assistance, the FBI finally gets what it needs to break up these criminal gangs.",Kurtis,1,"Crime, Entertainment",15/12/2013,Factual,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/222/47/s-82-dead-reckoning-dpb-tablet_PageBanner1536x792_1536x792_688503363770.jpg,,3,30,,http://placehold.it/290x195,,http://placehold.it/290x195,,http://placehold.it/290x195
Lifetime Television,83,Deadmen's Secrets,"This is not a story about the glory of Rome.  It's the story of the millions who rise and fight for freedom in the shadow of absolute power, and the few who led the charge.  The empire calls them Barbarians -  tribes beyond the fringe of civilization that live a primitive, brutish and violent existence.  But these peoples are also some of the fiercest warriors in history -  men and women who refuse to bow to ruthless oppression, launching an epic saga of resistance that ushers in the fall of Rome and shapes the world to come.",Towers Productions,2,"Crime, History",15/12/2013,Factual,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/301/131/s-83-deadmens-secrets-dpb-tablet_PageBanner1536x792_1536x792_688510019954.jpg,,4,40,,http://placehold.it/290x196,,http://placehold.it/290x196,,http://placehold.it/290x196
A&E Television Network,85,Deep Sea Detectives,"Set against the backdrop of the hit dating competition show Everlasting, UnREAL is led by flawed heroine Rachel Goldberg (Shiri Appleby), a young producer whose sole job is to manipulate her relationships with and among the contestants to get the vital dramatic and outrageous footage that the program's dispassionate executive producer, Quinn King (Constance Zimmer), demands. What ensues is an eye-opening look at what happens in the outrageous world of unscripted television where being a contestant can be vicious and producing it is a whole other reality.",Filmroos,0.5,Crime,15/12/2013,Movie,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/303/83/s-85-deep-sea-detectives-dpb-tablet_PageBanner1536x792_1536x792_688503363595.jpg,,1,10,,http://placehold.it/290x197,,http://placehold.it/290x197,,http://placehold.it/290x197
The History Channel,90,Empires Of Industry,"Before America was one nation, an aging generation of British loyalists maintained diplomacy with the King, but a defiant and radical group of young men would band together in secrecy to change the course of history.Sam Adams, John Hancock, John Adams, Paul Revere, Patrick Henry, Benedict Arnold. Together, they were The Sons of Liberty. Though their names have become American legend, few realize that this group of young radicals didn't start as noble patriots. They were a new American generation of young men from varied backgrounds trying to figure out what to do with their lives. What began as a small testing of authority would become an underground protest movement, inciting the British to respond with totalitarian tactics, cracking down on the colonies and instituting a near police state to maintain order. But after blood was spilled at the Boston Massacre, the Sons of Liberty rallied support for a larger cause. The Sons became guerilla warriors working underground, establishing spy networks, stockpiling weapons and planning covert actions - from the Boston Tea Party to the Battle of Lexington and Concord - that would lead to a declaration of independence and the greatest fight for freedom the world has ever seen. The Sons of Liberty led the revolution before the war and their fight became a nation.",Kurtis,0.2,"Entertainment, Technology & engineering",15/12/2013,Scripted,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/237/687/s-90-empires-of-industry-dpb-tablet_PageBanner1536x792_1536x792_688522819871.jpg,,2,20,,http://placehold.it/290x198,,http://placehold.it/290x198,,http://placehold.it/290x198
Lifetime Television,91,Escape!: Tales Of Suspense,"Charles Falco is one of only three men ever to infiltrate three different outlaw biker gangs. With his savvy and expertise, not to mention his immense courage, Falco has helped law enforcement bring some of America's most dangerous and feared gangs to justice. This first season of The Infiltrator takes us deep inside the notorious Vagos. Falco details this operation in the optioned book Vagos, Mongols, and Outlaws: My Infiltration of America's Deadliest Biker Gangs. The real-life Donnie Brasco will meet Sons of Anarchy in a way that can be Gangland 2.0 for History. With a combination of interviews and high-end recreations, each episode unfolds a different step in Falco's covert investigation into their illegal activities. Working in conjunction with law enforcement and drawing on the wealth of material from Falco's book, along with broader documented historical research of inter-gang rivalry, this series captures the reality of outlaw biker counter-culture: a world where freedom is equated with the right to carry guns and trade drugs with impunity, and respect can be earned through fear. With Falco's assistance, the FBI finally gets what it needs to break up these criminal gangs.",Kurtis,0.13,History,15/12/2013,Formats,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/226/950/s-91-escape-tales-of-suspense-dpb-tablet_PageBanner1536x792_1536x792_688510019972.jpg,,3,30,,http://placehold.it/290x199,,http://placehold.it/290x199,,http://placehold.it/290x199
A&E Television Network,95,Family Plots,"This is not a story about the glory of Rome.  It's the story of the millions who rise and fight for freedom in the shadow of absolute power, and the few who led the charge.  The empire calls them Barbarians -  tribes beyond the fringe of civilization that live a primitive, brutish and violent existence.  But these peoples are also some of the fiercest warriors in history -  men and women who refuse to bow to ruthless oppression, launching an epic saga of resistance that ushers in the fall of Rome and shapes the world to come.",Towers Productions,1,"Crime, Entertainment",15/12/2013,Factual,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/300/655/s-95-family-plots-dpb-tablet_PageBanner1536x792_1536x792_688304195687.jpg,,4,40,,http://placehold.it/290x200,,http://placehold.it/290x200,,http://placehold.it/290x200
The History Channel,99,Foot Soldier,"Set against the backdrop of the hit dating competition show Everlasting, UnREAL is led by flawed heroine Rachel Goldberg (Shiri Appleby), a young producer whose sole job is to manipulate her relationships with and among the contestants to get the vital dramatic and outrageous footage that the program's dispassionate executive producer, Quinn King (Constance Zimmer), demands. What ensues is an eye-opening look at what happens in the outrageous world of unscripted television where being a contestant can be vicious and producing it is a whole other reality.",Filmroos,2,History,15/12/2013,Factual,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/224/499/s-99-foot-soldier-dpb-tablet_PageBanner1536x792_1536x792_688505411594.jpg,,1,10,,http://placehold.it/290x201,,http://placehold.it/290x201,,http://placehold.it/290x201
Lifetime Television,107,Hands On History,"Before America was one nation, an aging generation of British loyalists maintained diplomacy with the King, but a defiant and radical group of young men would band together in secrecy to change the course of history.Sam Adams, John Hancock, John Adams, Paul Revere, Patrick Henry, Benedict Arnold. Together, they were The Sons of Liberty. Though their names have become American legend, few realize that this group of young radicals didn't start as noble patriots. They were a new American generation of young men from varied backgrounds trying to figure out what to do with their lives. What began as a small testing of authority would become an underground protest movement, inciting the British to respond with totalitarian tactics, cracking down on the colonies and instituting a near police state to maintain order. But after blood was spilled at the Boston Massacre, the Sons of Liberty rallied support for a larger cause. The Sons became guerilla warriors working underground, establishing spy networks, stockpiling weapons and planning covert actions - from the Boston Tea Party to the Battle of Lexington and Concord - that would lead to a declaration of independence and the greatest fight for freedom the world has ever seen. The Sons of Liberty led the revolution before the war and their fight became a nation.",Kurtis,0.5,"Crime, Entertainment",15/12/2013,Movie,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/301/131/s-107-hands-on-history-dpb-tablet_PageBanner1536x792_1536x792_688496707585.jpg,TRUE,2,20,,http://placehold.it/290x202,,http://placehold.it/290x202,,http://placehold.it/290x202
A&E Television Network,119,History's Lost & Found,"Charles Falco is one of only three men ever to infiltrate three different outlaw biker gangs. With his savvy and expertise, not to mention his immense courage, Falco has helped law enforcement bring some of America's most dangerous and feared gangs to justice. This first season of The Infiltrator takes us deep inside the notorious Vagos. Falco details this operation in the optioned book Vagos, Mongols, and Outlaws: My Infiltration of America's Deadliest Biker Gangs. The real-life Donnie Brasco will meet Sons of Anarchy in a way that can be Gangland 2.0 for History. With a combination of interviews and high-end recreations, each episode unfolds a different step in Falco's covert investigation into their illegal activities. Working in conjunction with law enforcement and drawing on the wealth of material from Falco's book, along with broader documented historical research of inter-gang rivalry, this series captures the reality of outlaw biker counter-culture: a world where freedom is equated with the right to carry guns and trade drugs with impunity, and respect can be earned through fear. With Falco's assistance, the FBI finally gets what it needs to break up these criminal gangs.",Towers Productions,0.2,"Crime, History",15/12/2013,Scripted,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/301/131/s-119-historys-lost-found-dpb-tablet_PageBanner1536x792_1536x792_688493123740.jpg,,3,30,,http://placehold.it/290x203,,http://placehold.it/290x203,,http://placehold.it/290x203
The History Channel,120,History's Raiders,"This is not a story about the glory of Rome.  It's the story of the millions who rise and fight for freedom in the shadow of absolute power, and the few who led the charge.  The empire calls them Barbarians -  tribes beyond the fringe of civilization that live a primitive, brutish and violent existence.  But these peoples are also some of the fiercest warriors in history -  men and women who refuse to bow to ruthless oppression, launching an epic saga of resistance that ushers in the fall of Rome and shapes the world to come.",Filmroos,0.13,Crime,15/12/2013,Formats,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/255/255/s-120-historys-raiders-dpb-tablet_PageBanner1536x792_1536x792_688535107720.jpg,TRUE,4,40,,http://placehold.it/290x204,,http://placehold.it/290x204,,http://placehold.it/290x204
Lifetime Television,124,House Beautiful,"Set against the backdrop of the hit dating competition show Everlasting, UnREAL is led by flawed heroine Rachel Goldberg (Shiri Appleby), a young producer whose sole job is to manipulate her relationships with and among the contestants to get the vital dramatic and outrageous footage that the program's dispassionate executive producer, Quinn King (Constance Zimmer), demands. What ensues is an eye-opening look at what happens in the outrageous world of unscripted television where being a contestant can be vicious and producing it is a whole other reality.",Kurtis,1,"Entertainment, Technology & engineering",15/12/2013,Factual,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/213/262/s-124-house-beautiful-dpb-tablet_PageBanner1536x792_1536x792_688489027858.jpg,,1,10,,http://placehold.it/290x205,,http://placehold.it/290x205,,http://placehold.it/290x205
A&E Television Network,127,In Search Of History,"Before America was one nation, an aging generation of British loyalists maintained diplomacy with the King, but a defiant and radical group of young men would band together in secrecy to change the course of history.Sam Adams, John Hancock, John Adams, Paul Revere, Patrick Henry, Benedict Arnold. Together, they were The Sons of Liberty. Though their names have become American legend, few realize that this group of young radicals didn't start as noble patriots. They were a new American generation of young men from varied backgrounds trying to figure out what to do with their lives. What began as a small testing of authority would become an underground protest movement, inciting the British to respond with totalitarian tactics, cracking down on the colonies and instituting a near police state to maintain order. But after blood was spilled at the Boston Massacre, the Sons of Liberty rallied support for a larger cause. The Sons became guerilla warriors working underground, establishing spy networks, stockpiling weapons and planning covert actions - from the Boston Tea Party to the Battle of Lexington and Concord - that would lead to a declaration of independence and the greatest fight for freedom the world has ever seen. The Sons of Liberty led the revolution before the war and their fight became a nation.",Towers Productions,2,History,15/12/2013,Factual,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/246/471/s-127-in-search-of-history-dpb-tablet_PageBanner1536x792_1536x792_688546883923.jpg,,2,20,,http://placehold.it/290x206,,http://placehold.it/290x206,,http://placehold.it/290x206
The History Channel,130,Infamous Murders,"Charles Falco is one of only three men ever to infiltrate three different outlaw biker gangs. With his savvy and expertise, not to mention his immense courage, Falco has helped law enforcement bring some of America's most dangerous and feared gangs to justice. This first season of The Infiltrator takes us deep inside the notorious Vagos. Falco details this operation in the optioned book Vagos, Mongols, and Outlaws: My Infiltration of America's Deadliest Biker Gangs. The real-life Donnie Brasco will meet Sons of Anarchy in a way that can be Gangland 2.0 for History. With a combination of interviews and high-end recreations, each episode unfolds a different step in Falco's covert investigation into their illegal activities. Working in conjunction with law enforcement and drawing on the wealth of material from Falco's book, along with broader documented historical research of inter-gang rivalry, this series captures the reality of outlaw biker counter-culture: a world where freedom is equated with the right to carry guns and trade drugs with impunity, and respect can be earned through fear. With Falco's assistance, the FBI finally gets what it needs to break up these criminal gangs.",Filmroos,0.5,"Crime, Entertainment",15/12/2013,Movie,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/244/1019/s-130-infamous-murders-dpb-tablet_PageBanner1536x792_1536x792_688526403511.jpg,,3,30,,http://placehold.it/290x207,,http://placehold.it/290x207,,http://placehold.it/290x207
Lifetime Television,131,Inside Story,"This is not a story about the glory of Rome.  It's the story of the millions who rise and fight for freedom in the shadow of absolute power, and the few who led the charge.  The empire calls them Barbarians -  tribes beyond the fringe of civilization that live a primitive, brutish and violent existence.  But these peoples are also some of the fiercest warriors in history -  men and women who refuse to bow to ruthless oppression, launching an epic saga of resistance that ushers in the fall of Rome and shapes the world to come.",Kurtis,0.2,"Crime, History",15/12/2013,Scripted,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/209/859/s-131-inside-story-dpb-tablet_PageBanner1536x792_1536x792_688497219756.jpg,,4,40,,http://placehold.it/290x208,,http://placehold.it/290x208,,http://placehold.it/290x208
A&E Television Network,135,Investigative Reports,"Set against the backdrop of the hit dating competition show Everlasting, UnREAL is led by flawed heroine Rachel Goldberg (Shiri Appleby), a young producer whose sole job is to manipulate her relationships with and among the contestants to get the vital dramatic and outrageous footage that the program's dispassionate executive producer, Quinn King (Constance Zimmer), demands. What ensues is an eye-opening look at what happens in the outrageous world of unscripted television where being a contestant can be vicious and producing it is a whole other reality.",Kurtis,0.13,Crime,15/12/2013,Formats,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/303/582/s-135-investigative-reports-dpb-tablet_PageBanner1536x792_1536x792_688244291741.jpg,TRUE,1,10,,http://placehold.it/290x209,,http://placehold.it/290x209,,http://placehold.it/290x209
The History Channel,137,L.A. Detectives,"Before America was one nation, an aging generation of British loyalists maintained diplomacy with the King, but a defiant and radical group of young men would band together in secrecy to change the course of history.Sam Adams, John Hancock, John Adams, Paul Revere, Patrick Henry, Benedict Arnold. Together, they were The Sons of Liberty. Though their names have become American legend, few realize that this group of young radicals didn't start as noble patriots. They were a new American generation of young men from varied backgrounds trying to figure out what to do with their lives. What began as a small testing of authority would become an underground protest movement, inciting the British to respond with totalitarian tactics, cracking down on the colonies and instituting a near police state to maintain order. But after blood was spilled at the Boston Massacre, the Sons of Liberty rallied support for a larger cause. The Sons became guerilla warriors working underground, establishing spy networks, stockpiling weapons and planning covert actions - from the Boston Tea Party to the Battle of Lexington and Concord - that would lead to a declaration of independence and the greatest fight for freedom the world has ever seen. The Sons of Liberty led the revolution before the war and their fight became a nation.",Towers Productions,1,"Entertainment, Technology & engineering",15/12/2013,Factual,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/213/263/s-137-la-detectives-dpb-tablet_PageBanner1536x792_1536x792_688493123582.jpg,,2,20,,http://placehold.it/290x210,,http://placehold.it/290x210,,http://placehold.it/290x210
Lifetime Television,144,Love Chronicles,"Charles Falco is one of only three men ever to infiltrate three different outlaw biker gangs. With his savvy and expertise, not to mention his immense courage, Falco has helped law enforcement bring some of America's most dangerous and feared gangs to justice. This first season of The Infiltrator takes us deep inside the notorious Vagos. Falco details this operation in the optioned book Vagos, Mongols, and Outlaws: My Infiltration of America's Deadliest Biker Gangs. The real-life Donnie Brasco will meet Sons of Anarchy in a way that can be Gangland 2.0 for History. With a combination of interviews and high-end recreations, each episode unfolds a different step in Falco's covert investigation into their illegal activities. Working in conjunction with law enforcement and drawing on the wealth of material from Falco's book, along with broader documented historical research of inter-gang rivalry, this series captures the reality of outlaw biker counter-culture: a world where freedom is equated with the right to carry guns and trade drugs with impunity, and respect can be earned through fear. With Falco's assistance, the FBI finally gets what it needs to break up these criminal gangs.",Filmroos,2,History,15/12/2013,Factual,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/232/807/s-144-love-chronicles-dpb-tablet_PageBanner1536x792_1536x792_688556611690.jpg,,3,30,,http://placehold.it/290x211,,http://placehold.it/290x211,,http://placehold.it/290x211
A&E Television Network,149,Makeover Mamas,"This is not a story about the glory of Rome.  It's the story of the millions who rise and fight for freedom in the shadow of absolute power, and the few who led the charge.  The empire calls them Barbarians -  tribes beyond the fringe of civilization that live a primitive, brutish and violent existence.  But these peoples are also some of the fiercest warriors in history -  men and women who refuse to bow to ruthless oppression, launching an epic saga of resistance that ushers in the fall of Rome and shapes the world to come.",Kurtis,0.5,"Crime, Entertainment",15/12/2013,Movie,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/859/239/s-149-makeover-mamas-dpb-tablet_PageBanner1536x792_1536x792_688527427680.jpg,,4,40,,http://placehold.it/290x212,,http://placehold.it/290x212,,http://placehold.it/290x212
The History Channel,150,"Mansions, Monuments & Masterpieces","Set against the backdrop of the hit dating competition show Everlasting, UnREAL is led by flawed heroine Rachel Goldberg (Shiri Appleby), a young producer whose sole job is to manipulate her relationships with and among the contestants to get the vital dramatic and outrageous footage that the program's dispassionate executive producer, Quinn King (Constance Zimmer), demands. What ensues is an eye-opening look at what happens in the outrageous world of unscripted television where being a contestant can be vicious and producing it is a whole other reality.",Towers Productions,0.2,History,15/12/2013,Scripted,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/215/215/s-150-mansions-monuments-masterpieces-dpb-tablet_PageBanner1536x792_1536x792_688498755709.jpg,,1,10,,http://placehold.it/290x213,,http://placehold.it/290x213,,http://placehold.it/290x213
Lifetime Television,175,Parole Board,"Before America was one nation, an aging generation of British loyalists maintained diplomacy with the King, but a defiant and radical group of young men would band together in secrecy to change the course of history.Sam Adams, John Hancock, John Adams, Paul Revere, Patrick Henry, Benedict Arnold. Together, they were The Sons of Liberty. Though their names have become American legend, few realize that this group of young radicals didn't start as noble patriots. They were a new American generation of young men from varied backgrounds trying to figure out what to do with their lives. What began as a small testing of authority would become an underground protest movement, inciting the British to respond with totalitarian tactics, cracking down on the colonies and instituting a near police state to maintain order. But after blood was spilled at the Boston Massacre, the Sons of Liberty rallied support for a larger cause. The Sons became guerilla warriors working underground, establishing spy networks, stockpiling weapons and planning covert actions - from the Boston Tea Party to the Battle of Lexington and Concord - that would lead to a declaration of independence and the greatest fight for freedom the world has ever seen. The Sons of Liberty led the revolution before the war and their fight became a nation.",Filmroos,0.13,"Crime, Entertainment",15/12/2013,Formats,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/208/883/s-175-parole-board-dpb-tablet_PageBanner1536x792_1536x792_688488515873.jpg,TRUE,2,20,,http://placehold.it/290x214,,http://placehold.it/290x214,,http://placehold.it/290x214
A&E Television Network,185,Save Our History,"Charles Falco is one of only three men ever to infiltrate three different outlaw biker gangs. With his savvy and expertise, not to mention his immense courage, Falco has helped law enforcement bring some of America's most dangerous and feared gangs to justice. This first season of The Infiltrator takes us deep inside the notorious Vagos. Falco details this operation in the optioned book Vagos, Mongols, and Outlaws: My Infiltration of America's Deadliest Biker Gangs. The real-life Donnie Brasco will meet Sons of Anarchy in a way that can be Gangland 2.0 for History. With a combination of interviews and high-end recreations, each episode unfolds a different step in Falco's covert investigation into their illegal activities. Working in conjunction with law enforcement and drawing on the wealth of material from Falco's book, along with broader documented historical research of inter-gang rivalry, this series captures the reality of outlaw biker counter-culture: a world where freedom is equated with the right to carry guns and trade drugs with impunity, and respect can be earned through fear. With Falco's assistance, the FBI finally gets what it needs to break up these criminal gangs.",Kurtis,1,"Crime, History",15/12/2013,Factual,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/303/83/s-185-save-our-history-dpb-tablet_PageBanner1536x792_1536x792_688244803871.jpg,,3,30,,http://placehold.it/290x215,,http://placehold.it/290x215,,http://placehold.it/290x215
The History Channel,187,Sea Tales,"This is not a story about the glory of Rome.  It's the story of the millions who rise and fight for freedom in the shadow of absolute power, and the few who led the charge.  The empire calls them Barbarians -  tribes beyond the fringe of civilization that live a primitive, brutish and violent existence.  But these peoples are also some of the fiercest warriors in history -  men and women who refuse to bow to ruthless oppression, launching an epic saga of resistance that ushers in the fall of Rome and shapes the world to come.",Towers Productions,2,Crime,15/12/2013,Factual,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/214/239/s-187-sea-tales-dpb-tablet_PageBanner1536x792_1536x792_688492611742.jpg,,4,40,,http://placehold.it/290x216,,http://placehold.it/290x216,,http://placehold.it/290x216
Lifetime Television,188,Secret Passages,"Set against the backdrop of the hit dating competition show Everlasting, UnREAL is led by flawed heroine Rachel Goldberg (Shiri Appleby), a young producer whose sole job is to manipulate her relationships with and among the contestants to get the vital dramatic and outrageous footage that the program's dispassionate executive producer, Quinn King (Constance Zimmer), demands. What ensues is an eye-opening look at what happens in the outrageous world of unscripted television where being a contestant can be vicious and producing it is a whole other reality.",Filmroos,0.5,"Entertainment, Technology & engineering",15/12/2013,Movie,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/213/763/s-188-secret-passages-dpb-tablet_PageBanner1536x792_1536x792_688492611590.jpg,,1,10,,http://placehold.it/290x217,,http://placehold.it/290x217,,http://placehold.it/290x217
A&E Television Network,190,Secrets Of WWII,"Before America was one nation, an aging generation of British loyalists maintained diplomacy with the King, but a defiant and radical group of young men would band together in secrecy to change the course of history.Sam Adams, John Hancock, John Adams, Paul Revere, Patrick Henry, Benedict Arnold. Together, they were The Sons of Liberty. Though their names have become American legend, few realize that this group of young radicals didn't start as noble patriots. They were a new American generation of young men from varied backgrounds trying to figure out what to do with their lives. What began as a small testing of authority would become an underground protest movement, inciting the British to respond with totalitarian tactics, cracking down on the colonies and instituting a near police state to maintain order. But after blood was spilled at the Boston Massacre, the Sons of Liberty rallied support for a larger cause. The Sons became guerilla warriors working underground, establishing spy networks, stockpiling weapons and planning covert actions - from the Boston Tea Party to the Battle of Lexington and Concord - that would lead to a declaration of independence and the greatest fight for freedom the world has ever seen. The Sons of Liberty led the revolution before the war and their fight became a nation.",Kurtis,0.2,History,15/12/2013,Scripted,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/235/235/s-190-secrets-of-wwii-dpb-tablet_PageBanner1536x792_1536x792_688548931928.jpg,,2,20,,http://placehold.it/290x218,,http://placehold.it/290x218,,http://placehold.it/290x218
The History Channel,191,Sell This House!,"Charles Falco is one of only three men ever to infiltrate three different outlaw biker gangs. With his savvy and expertise, not to mention his immense courage, Falco has helped law enforcement bring some of America's most dangerous and feared gangs to justice. This first season of The Infiltrator takes us deep inside the notorious Vagos. Falco details this operation in the optioned book Vagos, Mongols, and Outlaws: My Infiltration of America's Deadliest Biker Gangs. The real-life Donnie Brasco will meet Sons of Anarchy in a way that can be Gangland 2.0 for History. With a combination of interviews and high-end recreations, each episode unfolds a different step in Falco's covert investigation into their illegal activities. Working in conjunction with law enforcement and drawing on the wealth of material from Falco's book, along with broader documented historical research of inter-gang rivalry, this series captures the reality of outlaw biker counter-culture: a world where freedom is equated with the right to carry guns and trade drugs with impunity, and respect can be earned through fear. With Falco's assistance, the FBI finally gets what it needs to break up these criminal gangs.",Kurtis,0.13,"Crime, Entertainment",15/12/2013,Formats,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/303/583/s-191-sell-this-house-dpb-tablet_PageBanner1536x792_1536x792_688245315682.jpg,,3,30,,http://placehold.it/290x219,,http://placehold.it/290x219,,http://placehold.it/290x219
Lifetime Television,192,Shifting Gears,"This is not a story about the glory of Rome.  It's the story of the millions who rise and fight for freedom in the shadow of absolute power, and the few who led the charge.  The empire calls them Barbarians -  tribes beyond the fringe of civilization that live a primitive, brutish and violent existence.  But these peoples are also some of the fiercest warriors in history -  men and women who refuse to bow to ruthless oppression, launching an epic saga of resistance that ushers in the fall of Rome and shapes the world to come.",Towers Productions,1,"Crime, History",15/12/2013,Factual,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/249/899/s-192-shifting-gears-dpb-tablet_PageBanner1536x792_1536x792_688553027637.jpg,,4,40,,http://placehold.it/290x220,,http://placehold.it/290x220,,http://placehold.it/290x220
A&E Television Network,195,Special,"Set against the backdrop of the hit dating competition show Everlasting, UnREAL is led by flawed heroine Rachel Goldberg (Shiri Appleby), a young producer whose sole job is to manipulate her relationships with and among the contestants to get the vital dramatic and outrageous footage that the program's dispassionate executive producer, Quinn King (Constance Zimmer), demands. What ensues is an eye-opening look at what happens in the outrageous world of unscripted television where being a contestant can be vicious and producing it is a whole other reality.",Filmroos,2,Crime,15/12/2013,Factual,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/304/559/s-195-special-dpb-tablet_PageBanner1536x792_1536x792_688265283563.jpg,,1,10,,http://placehold.it/290x221,,http://placehold.it/290x221,,http://placehold.it/290x221
The History Channel,201,Tactical To Practical,"Before America was one nation, an aging generation of British loyalists maintained diplomacy with the King, but a defiant and radical group of young men would band together in secrecy to change the course of history.Sam Adams, John Hancock, John Adams, Paul Revere, Patrick Henry, Benedict Arnold. Together, they were The Sons of Liberty. Though their names have become American legend, few realize that this group of young radicals didn't start as noble patriots. They were a new American generation of young men from varied backgrounds trying to figure out what to do with their lives. What began as a small testing of authority would become an underground protest movement, inciting the British to respond with totalitarian tactics, cracking down on the colonies and instituting a near police state to maintain order. But after blood was spilled at the Boston Massacre, the Sons of Liberty rallied support for a larger cause. The Sons became guerilla warriors working underground, establishing spy networks, stockpiling weapons and planning covert actions - from the Boston Tea Party to the Battle of Lexington and Concord - that would lead to a declaration of independence and the greatest fight for freedom the world has ever seen. The Sons of Liberty led the revolution before the war and their fight became a nation.",Kurtis,0.5,"Entertainment, Technology & engineering",15/12/2013,Movie,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/1008/759/s-201-tactical-to-practical-dpb-tablet_PageBanner1536x792_1536x792_688252995688.jpg,TRUE,2,20,,http://placehold.it/290x222,,http://placehold.it/290x222,,http://placehold.it/290x222
Lifetime Television,203,Tales Of The FBI,"Charles Falco is one of only three men ever to infiltrate three different outlaw biker gangs. With his savvy and expertise, not to mention his immense courage, Falco has helped law enforcement bring some of America's most dangerous and feared gangs to justice. This first season of The Infiltrator takes us deep inside the notorious Vagos. Falco details this operation in the optioned book Vagos, Mongols, and Outlaws: My Infiltration of America's Deadliest Biker Gangs. The real-life Donnie Brasco will meet Sons of Anarchy in a way that can be Gangland 2.0 for History. With a combination of interviews and high-end recreations, each episode unfolds a different step in Falco's covert investigation into their illegal activities. Working in conjunction with law enforcement and drawing on the wealth of material from Falco's book, along with broader documented historical research of inter-gang rivalry, this series captures the reality of outlaw biker counter-culture: a world where freedom is equated with the right to carry guns and trade drugs with impunity, and respect can be earned through fear. With Falco's assistance, the FBI finally gets what it needs to break up these criminal gangs.",Towers Productions,0.2,History,15/12/2013,Scripted,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/209/859/s-203-tales-of-the-fbi-dpb-tablet_PageBanner1536x792_1536x792_688490563511.jpg,,3,30,,http://placehold.it/290x223,,http://placehold.it/290x223,,http://placehold.it/290x223
A&E Television Network,204,Tales Of The Gun,"This is not a story about the glory of Rome.  It's the story of the millions who rise and fight for freedom in the shadow of absolute power, and the few who led the charge.  The empire calls them Barbarians -  tribes beyond the fringe of civilization that live a primitive, brutish and violent existence.  But these peoples are also some of the fiercest warriors in history -  men and women who refuse to bow to ruthless oppression, launching an epic saga of resistance that ushers in the fall of Rome and shapes the world to come.",Filmroos,0.13,"Crime, Entertainment",15/12/2013,Formats,https://images.sales.aenetworks.com/publish-images/AETNI_B2B/215/715/s-204-tales-of-the-gun-dpb-tablet_PageBanner1536x792_1536x792_688493635756.jpg,,4,40,,http://placehold.it/290x224,,http://placehold.it/290x224,,http://placehold.it/290x224
